"time","anomaly"
1712,0.26972924605615
1713,0.270446900702008
1714,0.270214113085155
1715,0.270337265158306
1716,0.270623004121106
1717,0.270979189398262
1718,0.271336352760519
1719,0.271685395909759
1720,0.272029460984959
1721,0.272372355453312
1722,0.272715388589728
1723,0.273058686617268
1724,0.273402098726024
1725,0.273745529066289
1726,0.274088950830178
1727,0.274432365288036
1728,0.274775777283288
1729,0.27511918914733
1730,0.275462601330109
1731,0.275806013699634
1732,0.27614942611624
1733,0.276492838527987
1734,0.276836250929794
1735,0.277179663327188
1736,0.277523075723849
1737,0.277866488120822
1738,0.278209900518073
1739,0.27855331291542
1740,0.278896725312773
1741,0.279240137710114
1742,0.279583550107448
1743,0.27992696250478
1744,0.280270374902112
1745,0.280613787299444
1746,0.280957199696777
1747,0.28130061209411
1748,0.281644024491442
1749,0.281987436888775
1750,0.282330849286107
1751,0.28267426168344
1752,0.283017674080773
1753,0.283361086478105
1754,0.283704498875438
1755,0.284047911272771
1756,0.284391323670103
1757,0.284734736067436
1758,0.285078148464769
1759,0.285421560862101
1760,0.285764973259434
1761,0.286108385656767
1762,0.286451798054099
1763,0.286795210451432
1764,0.287138622848764
1765,0.287482035246097
1766,0.28782544764343
1767,0.288168860040762
1768,0.288512272438095
1769,0.288855684835428
1770,0.28919909723276
1771,0.289542509630093
1772,0.289885922027426
1773,0.290229334424758
1774,0.290572746822091
1775,0.290916159219424
1776,0.291259571616756
1777,0.291602984014089
1778,0.291946396411422
1779,0.292289808808754
1780,0.292633221206087
1781,0.29297663360342
1782,0.293320046000752
1783,0.293663458398085
1784,0.294006870795417
1785,0.29435028319275
1786,0.294693695590083
1787,0.295037107987415
1788,0.295380520384748
1789,0.295723932782081
1790,0.296067345179413
1791,0.296410757576746
1792,0.296754169974079
1793,0.297097582371411
1794,0.297440994768744
1795,0.297784407166077
1796,0.298127819563409
1797,0.298471231960742
1798,0.298814644358075
1799,0.299158056755407
1800,0.29950146915274
1801,0.299844881550072
1802,0.300188293947405
1803,0.300531706344738
1804,0.30087511874207
1805,0.301218531139403
1806,0.301561943536736
1807,0.301905355934068
1808,0.302248768331401
1809,0.302592180728734
1810,0.302935593126066
1811,0.303279005523399
1812,0.303622417920732
1813,0.303965830318064
1814,0.304309242715397
1815,0.30465265511273
1816,0.304996067510062
1817,0.305339479907395
1818,0.305682892304728
1819,0.30602630470206
1820,0.306369717099393
1821,0.306713129496725
1822,0.307056541894058
1823,0.307399954291391
1824,0.307743366688723
1825,0.308086779086056
1826,0.308430191483389
1827,0.308773603880721
1828,0.309117016278054
1829,0.309460428675387
1830,0.309803841072719
1831,0.310147253470052
1832,0.310490665867385
1833,0.310834078264717
1834,0.31117749066205
1835,0.311520903059383
1836,0.311864315456715
1837,0.312207727854048
1838,0.312551140251381
1839,0.312894552648713
1840,0.313237965046046
1841,0.313581377443378
1842,0.313924789840711
1843,0.314268202238044
1844,0.314611614635376
1845,0.314955027032709
1846,0.315298439430042
1847,0.315641851827374
1848,0.315985264224707
1849,0.31632867662204
1850,0.316672089019372
1851,0.317015501416705
1852,0.317358913814038
1853,0.31770232621137
1854,0.318045738608703
1855,0.318389151006035
1856,0.318732563403368
1857,0.319075975800701
1858,0.319419388198034
1859,0.319762800595366
1860,0.320106212992699
1861,0.320449625390031
1862,0.320793037787364
1863,0.321136450184697
1864,0.321479862582029
1865,0.321823274979362
1866,0.322166687376695
1867,0.322510099774027
1868,0.32285351217136
1869,0.323196924568693
1870,0.323540336966025
1871,0.323883749363358
1872,0.324227161760691
1873,0.324570574158023
1874,0.324913986555356
1875,0.325257398952688
1876,0.325600811350021
1877,0.325944223747354
1878,0.326287636144686
1879,0.326631048542019
1880,0.326974460939352
1881,0.327317873336684
1882,0.327661285734017
1883,0.32800469813135
1884,0.328348110528682
1885,0.328691522926015
1886,0.329034935323348
1887,0.32937834772068
1888,0.329721760118013
1889,0.330065172515346
1890,0.330408584912678
1891,0.330751997310011
1892,0.331095409707344
1893,0.331438822104676
1894,0.331782234502009
1895,0.332125646899341
1896,0.332469059296674
1897,0.332812471694007
1898,0.333155884091339
1899,0.333499296488672
1900,0.333842708886005
1901,0.334186121283337
1902,0.33452953368067
1903,0.334872946078003
1904,0.335216358475335
1905,0.335559770872668
1906,0.335903183270001
1907,0.336246595667333
1908,0.336590008064666
1909,0.336933420461998
1910,0.337276832859331
1911,0.337620245256664
1912,0.337963657653996
1913,0.338307070051329
1914,0.338650482448662
1915,0.338993894845994
1916,0.339337307243327
1917,0.33968071964066
1918,0.340024132037992
1919,0.340367544435325
1920,0.340710956832658
1921,0.34105436922999
1922,0.341397781627323
1923,0.341741194024656
1924,0.342084606421988
1925,0.342428018819321
1926,0.342771431216654
1927,0.343114843613986
1928,0.343458256011319
1929,0.343801668408651
1930,0.344145080805984
1931,0.344488493203317
1932,0.344831905600649
1933,0.345175317997982
1934,0.345518730395315
1935,0.345862142792647
1936,0.34620555518998
1937,0.346548967587313
1938,0.346892379984645
1939,0.347235792381978
1940,0.347579204779311
1941,0.347922617176643
1942,0.348266029573976
1943,0.348609441971309
1944,0.348952854368641
1945,0.349296266765974
1946,0.349639679163307
1947,0.349983091560639
1948,0.350326503957972
1949,0.350669916355304
1950,0.351013328752637
1951,0.35135674114997
1952,0.351700153547302
1953,0.352043565944635
1954,0.352386978341968
1955,0.3527303907393
1956,0.353073803136633
1957,0.353417215533966
1958,0.353760627931298
1959,0.354104040328631
1960,0.354447452725964
1961,0.354790865123296
1962,0.355134277520629
1963,0.355477689917962
1964,0.355821102315294
