"time","anomaly"
1712,-0.212412781679297
1713,-0.243811978515539
1714,-0.277859072023205
1715,-0.296555853790424
1716,-0.280965847704168
1717,-0.269507082916196
1718,-0.276800834487046
1719,-0.294604037329061
1720,-0.292328648568453
1721,-0.278581947315181
1722,-0.273674258264254
1723,-0.285130633413857
1724,-0.292996749085415
1725,-0.286372666594001
1726,-0.276865943400689
1727,-0.278991262507395
1728,-0.288315316889288
1729,-0.28969892030856
1730,-0.282388904114821
1731,-0.278092131504578
1732,-0.283162457213965
1733,-0.288566679488988
1734,-0.286407084790023
1735,-0.280677581371002
1736,-0.2805448134895
1737,-0.285396881291777
1738,-0.287422363169
1739,-0.283898986958063
1740,-0.28082010470553
1741,-0.282728602136918
1742,-0.286138481522257
1743,-0.285771307876538
1744,-0.282634118587179
1745,-0.281787580659223
1746,-0.284191518358084
1747,-0.285858842635422
1748,-0.284371358538093
1749,-0.282364568078113
1750,-0.282895141956877
1751,-0.284859212275361
1752,-0.285131647495461
1753,-0.283521742577395
1754,-0.282671876636946
1755,-0.283759660324729
1756,-0.284913675789327
1757,-0.284398727834823
1758,-0.28319561123628
1759,-0.283189895194251
1760,-0.284240850790276
1761,-0.284642179188638
1762,-0.28387606550274
1763,-0.283234457894968
1764,-0.283662511519964
1765,-0.284384755271574
1766,-0.284284125202076
1767,-0.283614155488212
1768,-0.283449038143677
1769,-0.283972246340415
1770,-0.284314585676066
1771,-0.283986530229616
1772,-0.283563110042936
1773,-0.283689870430744
1774,-0.284107990468941
1775,-0.28415534447397
1776,-0.283807582285768
1777,-0.283634719759592
1778,-0.283873372179652
1779,-0.284114826699666
1780,-0.28399742465504
1781,-0.283741927608164
1782,-0.283747935399063
1783,-0.283973629982382
1784,-0.284053721518663
1785,-0.283886669198131
1786,-0.283753458197924
1787,-0.283849149381579
1788,-0.284001820653401
1789,-0.28397588322046
1790,-0.283832582114262
1791,-0.283801063204852
1792,-0.283914449383644
1793,-0.283984887385046
1794,-0.283912384124766
1795,-0.283823370977946
1796,-0.283853106022117
1797,-0.283942183177547
1798,-0.283949871651583
1799,-0.283874889661312
1800,-0.283839809950291
1801,-0.283892107388557
1802,-0.28394255928107
1803,-0.283915910801601
1804,-0.283861717348193
1805,-0.283864523732297
1806,-0.283912971596527
1807,-0.283928840282483
1808,-0.283892478604409
1809,-0.283864851669589
1810,-0.283886198027586
1811,-0.283918428051471
1812,-0.283911951699568
1813,-0.283881320547614
1814,-0.283875399121094
1815,-0.283899943613433
1816,-0.283914403717275
1817,-0.28389841063764
1818,-0.283879718350442
1819,-0.283886633502728
1820,-0.283905593275905
1821,-0.283906716998086
1822,-0.283890563561976
1823,-0.283883471943022
1824,-0.28389491455826
1825,-0.283905442913772
1826,-0.283899419187272
1827,-0.283887935090932
1828,-0.283888859101665
1829,-0.283899250243072
1830,-0.283902372086979
1831,-0.283894466713666
1832,-0.283888747261272
1833,-0.283893496696305
1834,-0.283900293961123
1835,-0.283898711694924
1836,-0.283892169772403
1837,-0.283891079234791
1838,-0.283896387064013
1839,-0.283899347984379
1840,-0.283895826600222
1841,-0.283891905828904
1842,-0.283893502141178
1843,-0.283897534169063
1844,-0.28389766321515
1845,-0.283894186413416
1846,-0.283892758693211
1847,-0.283895258863173
1848,-0.283897452794358
1849,-0.28389609636249
1850,-0.283893665003681
1851,-0.283893931558699
1852,-0.28389615834674
1853,-0.283896767413941
1854,-0.283895050651878
1855,-0.28389386882584
1856,-0.2838949230111
1857,-0.283896355079314
1858,-0.283895974889695
1859,-0.283894578906278
1860,-0.283894383400901
1861,-0.283895530111223
1862,-0.283896134732418
1863,-0.283895360708913
1864,-0.283894539302243
1865,-0.283894905462866
1866,-0.283895762178198
1867,-0.283895766006194
1868,-0.283895018341959
1869,-0.283894732237641
1870,-0.283895277794265
1871,-0.283895734286486
1872,-0.283895429891306
1873,-0.283894915616092
1874,-0.283894987286897
1875,-0.28389546407416
1876,-0.283895581720093
1877,-0.283895209309484
1878,-0.283894965598909
1879,-0.28389519906652
1880,-0.283895500461547
1881,-0.283895410301227
1882,-0.283895112663912
1883,-0.283895078937446
1884,-0.28389532643661
1885,-0.283895449528074
1886,-0.283895279666421
1887,-0.283895107795718
1888,-0.283895191323439
1889,-0.283895373196314
1890,-0.283895368941683
1891,-0.283895208302984
1892,-0.283895151271717
1893,-0.283895270165703
1894,-0.283895364998042
1895,-0.283895296901521
1896,-0.283895188226879
1897,-0.283895206671111
1898,-0.283895308671598
1899,-0.283895331119249
1900,-0.283895250419435
1901,-0.283895200271562
1902,-0.283895251870195
1903,-0.283895315233446
1904,-0.283895294078775
1905,-0.283895230673518
1906,-0.283895225192099
1907,-0.283895278560657
1908,-0.28389530353692
1909,-0.283895266317156
1910,-0.283895230401868
1911,-0.283895249364126
1912,-0.283895287939741
1913,-0.28389528594795
1914,-0.28389525146416
1915,-0.28389524016445
1916,-0.283895266043672
1917,-0.283895285711331
1918,-0.283895270520597
1919,-0.283895247578253
1920,-0.283895252184527
1921,-0.283895273987349
1922,-0.283895278205173
1923,-0.283895260735912
1924,-0.283895250441194
1925,-0.283895261822985
1926,-0.283895275129136
1927,-0.283895270209115
1928,-0.283895256713526
1929,-0.283895255911732
1930,-0.283895267409048
1931,-0.283895272458275
1932,-0.283895264314575
1933,-0.283895256819687
1934,-0.283895261106067
1935,-0.283895269280652
1936,-0.283895268624165
1937,-0.283895261228033
1938,-0.283895259004941
1939,-0.283895264631375
1940,-0.283895268703092
1941,-0.28389526532321
1942,-0.283895260484672
1943,-0.283895261610167
1944,-0.283895266266633
1945,-0.283895267043516
1946,-0.283895263265709
1947,-0.283895261157684
1948,-0.283895263663771
1949,-0.283895266454798
1950,-0.283895265319007
1951,-0.283895262448991
1952,-0.283895262356723
1953,-0.28389526483137
1954,-0.28389526584793
1955,-0.283895264068548
1956,-0.283895262506728
1957,-0.28389526347196
1958,-0.283895265202653
1959,-0.283895265013181
1960,-0.283895263428207
1961,-0.283895262994464
1962,-0.28389526421633
1963,-0.283895265057688
1964,-0.28389526430748
1965,-0.283895263288077
1966,-0.283895263558534
1967,-0.283895264552183
1968,-0.283895264691482
1969,-0.283895263875315
1970,-0.283895263444849
1971,-0.283895263995708
1972,-0.283895264580436
1973,-0.283895264319901
1974,-0.283895263710084
1975,-0.283895263707271
1976,-0.283895264239431
1977,-0.283895264443147
1978,-0.283895264054869
1979,-0.283895263729898
1980,-0.283895263946508
1981,-0.283895264312582
1982,-0.283895264261622
1983,-0.283895263922255
1984,-0.28389526383847
1985,-0.283895264103526
1986,-0.283895264277029
1987,-0.28389526411088
1988,-0.283895263896334
1989,-0.283895263960476
1990,-0.283895264172333
1991,-0.283895264196369
1992,-0.283895264020211
1993,-0.283895263932574
1994,-0.283895264053462
1995,-0.283895264175811
1996,-0.283895264116377
1997,-0.283895263986918
1998,-0.283895263989927
1999,-0.283895264104264
2000,-0.283895264144874
2001,-0.283895264060255
2002,-0.283895263992745
2003,-0.283895264041203
2004,-0.283895264118561
2005,-0.283895264105445
2006,-0.283895264032842
2007,-0.283895264016854
2008,-0.283895264074291
2009,-0.283895264109993
2010,-0.283895264073272
2011,-0.283895264028167
2012,-0.283895264043218
2013,-0.283895264088349
2014,-0.283895264092258
2015,-0.283895264054272
2016,-0.28389526403649
2017,-0.283895264062979
2018,-0.283895264088546
2019,-0.283895264075053
2020,-0.283895264047594
2021,-0.283895264049008
2022,-0.283895264073552
2023,-0.283895264081599
2024,-0.28389526406318
2025,-0.283895264049178
2026,-0.283895264059989
2027,-0.28389526407632
2028,-0.283895264073044
2029,-0.283895264057525
2030,-0.28389526405452
2031,-0.283895264066954
2032,-0.283895264074283
2033,-0.283895264066183
2034,-0.283895264056711
2035,-0.283895264060211
2036,-0.283895264069818
2037,-0.28389526407039
2038,-0.283895264062206
2039,-0.283895264058611
2040,-0.283895264064407
2041,-0.283895264069743
2042,-0.283895264066693
2043,-0.283895264060874
2044,-0.28389526406134
2045,-0.283895264066605
2046,-0.283895264068188
2047,-0.283895264064183
2048,-0.283895264061284
2049,-0.28389526406369
2050,-0.283895264067134
2051,-0.283895264066333
2052,-0.283895264063019
2053,-0.283895264062466
2054,-0.283895264065154
2055,-0.283895264066655
2056,-0.283895264064872
2057,-0.283895264062885
2058,-0.283895264063693
2059,-0.283895264065736
2060,-0.283895264065802
2061,-0.28389526406404
2062,-0.283895264063317
2063,-0.283895264064583
2064,-0.283895264065695
2065,-0.283895264065008
2066,-0.283895264063776
2067,-0.283895264063911
2068,-0.283895264065039
2069,-0.283895264065348
2070,-0.283895264064478
2071,-0.283895264063879
2072,-0.283895264064413
2073,-0.283895264065139
2074,-0.283895264064946
2075,-0.283895264064239
2076,-0.28389526406414
