"time","anomaly"
1712,-0.183590600574885
1713,-0.194846337998813
1714,-0.202117984383943
1715,-0.200784924967638
1716,-0.208363957284052
1717,-0.20422012328017
1718,-0.208017886034064
1719,-0.207998975009564
1720,-0.20585471900145
1721,-0.210166532916778
1722,-0.205553408721613
1723,-0.209358961251239
1724,-0.207568630647841
1725,-0.207048956728496
1726,-0.209614896180501
1727,-0.205926135239253
1728,-0.209596733816167
1729,-0.207026448488405
1730,-0.207827493837222
1731,-0.208909006158828
1732,-0.206395375653364
1733,-0.209506378704183
1734,-0.206750578069534
1735,-0.208370388970346
1736,-0.20828080837221
1737,-0.206921540984709
1738,-0.20923038014977
1739,-0.206714050880133
1740,-0.208687274339149
1741,-0.207796213972342
1742,-0.207420473869034
1743,-0.208864147573755
1744,-0.206849828039761
1745,-0.208805514231465
1746,-0.207476399493852
1747,-0.207834168398654
1748,-0.208484180915804
1749,-0.207087295297951
1750,-0.208770002132161
1751,-0.207313752757836
1752,-0.208133482861584
1753,-0.208145348963902
1754,-0.207363758501367
1755,-0.208632395650073
1756,-0.207282003075796
1757,-0.208313408241009
1758,-0.207880283625641
1759,-0.207630450773301
1760,-0.208442200474935
1761,-0.20734543964351
1762,-0.208386384084707
1763,-0.207701821328268
1764,-0.207854789732342
1765,-0.208240827717993
1766,-0.207466555805885
1767,-0.208375315811164
1768,-0.20760733253351
1769,-0.208019783810094
1770,-0.208058541941764
1771,-0.207611598782138
1772,-0.208307326476407
1773,-0.207583792048156
1774,-0.208121540414747
1775,-0.207913826813925
1776,-0.207753925153991
1777,-0.208208852783438
1778,-0.207612688328863
1779,-0.208165787709447
1780,-0.207814515343724
1781,-0.207875384328761
1782,-0.208102329127233
1783,-0.207674166271086
1784,-0.20816417485772
1785,-0.207759995505981
1786,-0.207966147281009
1787,-0.208004417261387
1788,-0.207750084943508
1789,-0.208130911712366
1790,-0.207743868959999
1791,-0.208023477852777
1792,-0.207925546000202
1793,-0.207825913628527
1794,-0.208080092469004
1795,-0.207756570048888
1796,-0.208049933153722
1797,-0.207870422565115
1798,-0.207891567831686
1799,-0.208023851462078
1800,-0.207787607949743
1801,-0.208051407259582
1802,-0.207839150877113
1803,-0.207941397257191
1804,-0.207971343094537
1805,-0.207827247978084
1806,-0.208035326906322
1807,-0.20782862245105
1808,-0.207973586140758
1809,-0.207928430435953
1810,-0.207867578988985
1811,-0.208009193405619
1812,-0.207833911224669
1813,-0.207989225233196
1814,-0.207897907756663
1815,-0.207903011874111
1816,-0.207979559567482
1817,-0.207849485117504
1818,-0.207991279387907
1819,-0.207880064385405
1820,-0.207930316286693
1821,-0.207951445312437
1822,-0.207870128682136
1823,-0.207983620284935
1824,-0.2078734105396
1825,-0.207948331612354
1826,-0.207928136031522
1827,-0.207891541973492
1828,-0.20797023340317
1829,-0.207875418908988
1830,-0.207957490136389
1831,-0.207911273783244
1832,-0.207910634581319
1833,-0.20795465181914
1834,-0.207883178293154
1835,-0.207959273304901
1836,-0.207901139803416
1837,-0.20792556864046
1838,-0.20793962311795
1839,-0.207893898966482
1840,-0.207955694006031
1841,-0.207897032273013
1842,-0.207935621685833
1843,-0.20792698269771
1844,-0.207905247625929
1845,-0.207948865970085
1846,-0.207897659898591
1847,-0.207940942617322
1848,-0.207917687379175
1849,-0.207915519260307
1850,-0.207940691124829
1851,-0.207901493994875
1852,-0.207942265936092
1853,-0.207911955919611
1854,-0.207923672787216
1855,-0.207932670602489
1856,-0.207907044781943
1857,-0.207940635093652
1858,-0.207909465069882
1859,-0.20792926727828
1860,-0.207925826867386
1861,-0.207913048178875
1862,-0.207937169064936
1863,-0.207909558080336
1864,-0.207932337613895
1865,-0.207920713438884
1866,-0.207918565497512
1867,-0.207932890083164
1868,-0.207911434051801
1869,-0.207933244633074
1870,-0.207917484182313
1871,-0.207923009321493
1872,-0.207928616844236
1873,-0.207914298726555
1874,-0.207932527544423
1875,-0.207915994749848
1876,-0.207926114644959
1877,-0.20792491744334
1878,-0.207917468377972
1879,-0.207930777589627
1880,-0.207915912833006
1881,-0.207927875824351
1882,-0.207922110091773
