"time","anomaly"
1712,1.61334695050413
1713,1.68298110202006
1714,1.7121285174456
1715,1.72572062316515
1716,1.73351458496707
1717,1.73888590714245
1718,1.74308744344604
1719,1.74662125443352
1720,1.74971727665813
1721,1.75249978363792
1722,1.75504699976218
1723,1.75741361982712
1724,1.75964019866541
1725,1.76175768861006
1726,1.76379003039803
1727,1.76575585236258
1728,1.76766968747471
1729,1.76954288679582
1730,1.77138432061839
1731,1.7732009221666
1732,1.77499811112981
1733,1.77678012424794
1734,1.77855027357336
1735,1.78031114830878
1736,1.78206477257507
1737,1.78381272874019
1738,1.78555625383014
1739,1.78729631489791
1740,1.7890336679435
1741,1.79076890397489
1742,1.79250248501645
1743,1.79423477225878
1744,1.79596604806503
1745,1.79769653317443
1746,1.79942640015135
1747,1.80115578389912
1748,1.80288478987932
1749,1.80461350053722
1750,1.80634198032496
1751,1.80807027962843
1752,1.80979843783714
1753,1.81152648574407
1754,1.81325444742187
1755,1.81498234168947
1756,1.81671018325871
1757,1.81843798363065
1758,1.82016575179633
1759,1.82189349478456
1760,1.82362121809015
1761,1.8253489260087
1762,1.82707662189833
1763,1.82880430838429
1764,1.83053198751884
1765,1.8322596609064
1766,1.83398732980121
1767,1.83571499518377
1768,1.83744265782061
1769,1.83917031831097
1770,1.84089797712331
1771,1.84262563462384
1772,1.84435329109885
1773,1.84608094677215
1774,1.84780860181873
1775,1.84953625637534
1776,1.85126391054893
1777,1.85299156442309
1778,1.85471921806316
1779,1.85644687152023
1780,1.85817452483425
1781,1.85990217803643
1782,1.86162983115118
1783,1.86335748419758
1784,1.86508513719055
1785,1.86681279014175
1786,1.86854044306029
1787,1.87026809595331
1788,1.87199574882637
1789,1.87372340168383
1790,1.87545105452909
1791,1.87717870736482
1792,1.87890636019309
1793,1.88063401301554
1794,1.88236166583343
1795,1.88408931864776
1796,1.88581697145931
1797,1.88754462426868
1798,1.88927227707635
1799,1.89099992988269
1800,1.89272758268799
1801,1.89445523549247
1802,1.89618288829632
1803,1.89791054109968
1804,1.89963819390264
1805,1.90136584670531
1806,1.90309349950773
1807,1.90482115230997
1808,1.90654880511206
1809,1.90827645791404
1810,1.91000411071594
1811,1.91173176351776
1812,1.91345941631953
1813,1.91518706912125
1814,1.91691472192295
1815,1.91864237472461
1816,1.92037002752626
1817,1.92209768032789
1818,1.92382533312951
1819,1.92555298593112
1820,1.92728063873272
1821,1.92900829153432
1822,1.93073594433591
1823,1.9324635971375
1824,1.93419124993908
1825,1.93591890274066
1826,1.93764655554224
1827,1.93937420834382
1828,1.9411018611454
1829,1.94282951394698
1830,1.94455716674856
1831,1.94628481955013
1832,1.94801247235171
1833,1.94974012515328
1834,1.95146777795486
1835,1.95319543075643
1836,1.95492308355801
1837,1.95665073635958
1838,1.95837838916116
1839,1.96010604196273
1840,1.96183369476431
1841,1.96356134756588
1842,1.96528900036746
1843,1.96701665316903
1844,1.96874430597061
1845,1.97047195877218
1846,1.97219961157375
1847,1.97392726437533
1848,1.9756549171769
1849,1.97738256997848
1850,1.97911022278005
1851,1.98083787558163
1852,1.9825655283832
1853,1.98429318118478
1854,1.98602083398635
1855,1.98774848678792
1856,1.9894761395895
1857,1.99120379239107
1858,1.99293144519265
1859,1.99465909799422
1860,1.9963867507958
1861,1.99811440359737
1862,1.99984205639895
1863,2.00156970920052
1864,2.0032973620021
1865,2.00502501480367
1866,2.00675266760524
1867,2.00848032040682
1868,2.01020797320839
1869,2.01193562600997
1870,2.01366327881154
1871,2.01539093161312
1872,2.01711858441469
1873,2.01884623721627
1874,2.02057389001784
1875,2.02230154281941
1876,2.02402919562099
1877,2.02575684842256
1878,2.02748450122414
1879,2.02921215402571
1880,2.03093980682729
1881,2.03266745962886
1882,2.03439511243044
1883,2.03612276523201
1884,2.03785041803359
1885,2.03957807083516
1886,2.04130572363673
1887,2.04303337643831
1888,2.04476102923988
1889,2.04648868204146
1890,2.04821633484303
1891,2.04994398764461
1892,2.05167164044618
1893,2.05339929324776
1894,2.05512694604933
1895,2.0568545988509
1896,2.05858225165248
