"time","anomaly"
1712,1.00965818625857
1713,0.997976816561482
1714,0.966683492005848
1715,0.944933064144068
1716,0.940358094251696
1717,0.940097244309481
1718,0.940920012107036
1719,0.94201496227771
1720,0.943178279033311
1721,0.94435876806161
1722,0.945543570409785
1723,0.946729456174738
1724,0.947915614071587
1725,0.949101840322341
1726,0.950288083742183
1727,0.951474331474546
1728,0.952660580290124
1729,0.953846829377783
1730,0.955033078533784
1731,0.956219327706951
1732,0.957405576884429
1733,0.95859182606299
1734,0.959778075241824
1735,0.960964324420726
1736,0.962150573599645
1737,0.963336822778568
1738,0.964523071957492
1739,0.965709321136417
1740,0.966895570315342
1741,0.968081819494266
1742,0.969268068673191
1743,0.970454317852116
1744,0.971640567031041
1745,0.972826816209965
1746,0.97401306538889
1747,0.975199314567815
1748,0.97638556374674
1749,0.977571812925664
1750,0.978758062104589
1751,0.979944311283514
1752,0.981130560462439
1753,0.982316809641363
1754,0.983503058820288
1755,0.984689307999213
1756,0.985875557178137
1757,0.987061806357062
1758,0.988248055535987
1759,0.989434304714912
1760,0.990620553893837
1761,0.991806803072762
1762,0.992993052251686
1763,0.994179301430611
1764,0.995365550609536
1765,0.996551799788461
1766,0.997738048967385
1767,0.99892429814631
1768,1.00011054732523
1769,1.00129679650416
1770,1.00248304568308
1771,1.00366929486201
1772,1.00485554404093
1773,1.00604179321986
1774,1.00722804239878
1775,1.00841429157771
1776,1.00960054075663
1777,1.01078678993556
1778,1.01197303911448
1779,1.01315928829341
1780,1.01434553747233
1781,1.01553178665126
1782,1.01671803583018
1783,1.01790428500911
1784,1.01909053418803
1785,1.02027678336696
1786,1.02146303254588
1787,1.0226492817248
1788,1.02383553090373
1789,1.02502178008265
1790,1.02620802926158
1791,1.0273942784405
1792,1.02858052761943
1793,1.02976677679835
1794,1.03095302597728
1795,1.0321392751562
1796,1.03332552433513
1797,1.03451177351405
1798,1.03569802269298
1799,1.0368842718719
1800,1.03807052105083
1801,1.03925677022975
1802,1.04044301940868
1803,1.0416292685876
1804,1.04281551776653
1805,1.04400176694545
1806,1.04518801612437
1807,1.0463742653033
1808,1.04756051448222
1809,1.04874676366115
1810,1.04993301284007
1811,1.051119262019
1812,1.05230551119792
1813,1.05349176037685
1814,1.05467800955577
1815,1.0558642587347
1816,1.05705050791362
1817,1.05823675709255
1818,1.05942300627147
1819,1.0606092554504
1820,1.06179550462932
1821,1.06298175380825
1822,1.06416800298717
1823,1.0653542521661
1824,1.06654050134502
1825,1.06772675052395
1826,1.06891299970287
1827,1.07009924888179
1828,1.07128549806072
1829,1.07247174723964
1830,1.07365799641857
1831,1.07484424559749
1832,1.07603049477642
1833,1.07721674395534
1834,1.07840299313427
1835,1.07958924231319
1836,1.08077549149212
1837,1.08196174067104
1838,1.08314798984997
1839,1.08433423902889
1840,1.08552048820782
1841,1.08670673738674
1842,1.08789298656567
1843,1.08907923574459
1844,1.09026548492352
1845,1.09145173410244
1846,1.09263798328136
1847,1.09382423246029
1848,1.09501048163921
1849,1.09619673081814
1850,1.09738297999706
1851,1.09856922917599
1852,1.09975547835491
1853,1.10094172753384
1854,1.10212797671276
1855,1.10331422589169
1856,1.10450047507061
1857,1.10568672424954
1858,1.10687297342846
1859,1.10805922260739
1860,1.10924547178631
1861,1.11043172096524
1862,1.11161797014416
1863,1.11280421932309
1864,1.11399046850201
1865,1.11517671768093
1866,1.11636296685986
1867,1.11754921603878
1868,1.11873546521771
1869,1.11992171439663
1870,1.12110796357556
1871,1.12229421275448
1872,1.12348046193341
1873,1.12466671111233
1874,1.12585296029126
1875,1.12703920947018
1876,1.12822545864911
1877,1.12941170782803
1878,1.13059795700696
1879,1.13178420618588
1880,1.13297045536481
1881,1.13415670454373
1882,1.13534295372266
1883,1.13652920290158
1884,1.1377154520805
1885,1.13890170125943
1886,1.14008795043835
1887,1.14127419961728
1888,1.1424604487962
1889,1.14364669797513
1890,1.14483294715405
1891,1.14601919633298
1892,1.1472054455119
1893,1.14839169469083
1894,1.14957794386975
1895,1.15076419304868
1896,1.1519504422276
1897,1.15313669140653
1898,1.15432294058545
1899,1.15550918976438
1900,1.1566954389433
1901,1.15788168812223
1902,1.15906793730115
1903,1.16025418648008
1904,1.161440435659
1905,1.16262668483792
1906,1.16381293401685
1907,1.16499918319577
1908,1.1661854323747
1909,1.16737168155362
1910,1.16855793073255
1911,1.16974417991147
1912,1.1709304290904
1913,1.17211667826932
1914,1.17330292744825
1915,1.17448917662717
1916,1.1756754258061
1917,1.17686167498502
1918,1.17804792416395
1919,1.17923417334287
1920,1.1804204225218
1921,1.18160667170072
1922,1.18279292087965
1923,1.18397917005857
1924,1.18516541923749
1925,1.18635166841642
1926,1.18753791759534
1927,1.18872416677427
1928,1.18991041595319
1929,1.19109666513212
1930,1.19228291431104
1931,1.19346916348997
1932,1.19465541266889
1933,1.19584166184782
1934,1.19702791102674
1935,1.19821416020567
1936,1.19940040938459
1937,1.20058665856352
1938,1.20177290774244
1939,1.20295915692137
1940,1.20414540610029
1941,1.20533165527922
1942,1.20651790445814
1943,1.20770415363706
1944,1.20889040281599
1945,1.21007665199491
1946,1.21126290117384
1947,1.21244915035276
1948,1.21363539953169
1949,1.21482164871061
1950,1.21600789788954
1951,1.21719414706846
1952,1.21838039624739
1953,1.21956664542631
1954,1.22075289460524
1955,1.22193914378416
1956,1.22312539296309
1957,1.22431164214201
1958,1.22549789132094
1959,1.22668414049986
1960,1.22787038967879
1961,1.22905663885771
1962,1.23024288803663
1963,1.23142913721556
1964,1.23261538639448
1965,1.23380163557341
1966,1.23498788475233
1967,1.23617413393126
1968,1.23736038311018
1969,1.23854663228911
1970,1.23973288146803
1971,1.24091913064696
1972,1.24210537982588
1973,1.24329162900481
1974,1.24447787818373
1975,1.24566412736266
1976,1.24685037654158
1977,1.24803662572051
1978,1.24922287489943
1979,1.25040912407836
1980,1.25159537325728
1981,1.2527816224362
1982,1.25396787161513
1983,1.25515412079405
1984,1.25634036997298
1985,1.2575266191519
1986,1.25871286833083
1987,1.25989911750975
1988,1.26108536668868
1989,1.2622716158676
1990,1.26345786504653
1991,1.26464411422545
1992,1.26583036340438
1993,1.2670166125833
1994,1.26820286176223
1995,1.26938911094115
1996,1.27057536012008
1997,1.271761609299
1998,1.27294785847793
1999,1.27413410765685
2000,1.27532035683577
2001,1.2765066060147
2002,1.27769285519362
2003,1.27887910437255
2004,1.28006535355147
2005,1.2812516027304
2006,1.28243785190932
2007,1.28362410108825
2008,1.28481035026717
2009,1.2859965994461
2010,1.28718284862502
2011,1.28836909780395
2012,1.28955534698287
2013,1.2907415961618
2014,1.29192784534072
2015,1.29311409451965
2016,1.29430034369857
2017,1.2954865928775
2018,1.29667284205642
2019,1.29785909123535
2020,1.29904534041427
2021,1.30023158959319
2022,1.30141783877212
2023,1.30260408795104
2024,1.30379033712997
2025,1.30497658630889
2026,1.30616283548782
2027,1.30734908466674
2028,1.30853533384567
2029,1.30972158302459
2030,1.31090783220352
2031,1.31209408138244
2032,1.31328033056137
2033,1.31446657974029
2034,1.31565282891922
2035,1.31683907809814
2036,1.31802532727707
2037,1.31921157645599
2038,1.32039782563492
2039,1.32158407481384
2040,1.32277032399276
2041,1.32395657317169
2042,1.32514282235061
2043,1.32632907152954
2044,1.32751532070846
2045,1.32870156988739
2046,1.32988781906631
2047,1.33107406824524
2048,1.33226031742416
2049,1.33344656660309
